Brand_Name,Deal_Week,deal_id,store_id,Week,total_inventory,Elasticity,new_discount,Actual discount,Inventory,Actual Remaining Inventory,week_gross,Weekly gross actual,week_gross_td,week_nett,week_nett_td,Period,deal_recovery,date1,Inventory remaining difference,discount difference,recovery actual
Forever 21,3,934,37599,Week1,1543794.26,,19.94,0.1994,1441541.58,1441541.58,102252.68,102252.68,102252.68,81863.49561,81863.49561,History,0.746990134,2024-11-20,0,0,0.489641936
Forever 21,3,934,37599,Week2,1543794.26,,21.62,0.2162,1330225.11,1330225.11,111316.47,213569.15,213569.15,87249.84919,169113.3448,History,0.746990134,2024-11-27,0,0,0.489641936
Forever 21,3,934,37599,Week3,1543794.26,0.0429201,22.7406728,0.2652,1082218.192,1183422.03,248006.9179,360372.23,461576.0679,191608.4762,360721.821,Future_Plan,0.746990134,2024-12-04,-101203.8379,-3.779327196,0.489641936
Forever 21,3,934,37599,Week4,1543794.26,0.0429201,23.02542455,0.3108,867223.228,1027991.31,214994.9641,515802.95,676571.032,165491.4608,526213.2818,Future_Plan,0.746990134,2024-12-11,-160768.082,-8.054575449,0.489641936
Forever 21,3,934,37599,Week5,1543794.26,0.0429201,23.4828214,0.3455,677914.5522,830868.79,189308.6758,712925.47,865879.7078,144853.6576,671066.9394,Future_Plan,0.746990134,2024-12-18,-152954.2378,-11.0671786,0.489641936
Forever 21,3,934,37599,Week6,1543794.26,0.0429201,24.21686691,0.3719,508572.7112,647863.51,169341.841,895930.75,1035221.549,128332.5528,799399.4922,Future_Plan,0.746990134,2024-12-25,-139290.7988,-12.97313309,0.489641936
Forever 21,3,934,37599,Week7,1543794.26,0.0429201,25.39018209,0.4002,355921.045,440853.37,152651.6661,1102940.89,1187873.215,113893.1301,913292.6223,Future_Plan,0.746990134,2025-01-01,-84932.32498,-14.62981791,0.489641936
Forever 21,3,934,37599,Week8,1543794.26,0.0429201,27.25049292,0.4193,220670.4286,329399.93,135250.6164,1214394.33,1323123.831,98394.15674,1011686.779,Future_Plan,0.746990134,2025-01-08,-108729.5014,-14.67950708,0.489641936
Forever 21,3,934,37599,Week9,1543794.26,0.0429201,30.15742507,0.4436,109283.1553,225614.7,111387.2734,1318179.56,1434511.105,77795.73985,1089482.519,Future_Plan,0.746990134,2025-01-15,-116331.5447,-14.20257493,0.489641936
Forever 21,3,934,37599,Week10,1543794.26,0.0429201,41.69589878,0.4663,-0.000069893,127350.65,109283.1554,1416443.61,1543794.26,63716.56151,1153199.08,Future_Plan,0.746990134,2025-01-22,-127350.6501,-4.934101215,0.489641936
Forever 21,4,934,37599,Week1,1543794.26,,19.94,0.1994,1441541.58,1441541.58,102252.68,102252.68,102252.68,81863.49561,81863.49561,History,0.703531247,2024-11-20,0,0,0.489641936
Forever 21,4,934,37599,Week2,1543794.26,,21.62,0.2162,1330225.11,1330225.11,111316.47,213569.15,213569.15,87249.84919,169113.3448,History,0.703531247,2024-11-27,0,0,0.489641936
Forever 21,4,934,37599,Week3,1543794.26,,26.52,0.2652,1183422.03,1183422.03,146803.08,360372.23,360372.23,107870.9032,276984.248,History,0.703531247,2024-12-04,0,0,0.489641936
