store_id,store_name,store_zip_code10,store_selling_sq_ft,store_zip_code12,parent_company,deal_name,deal_type,sales_commence_date,Length_of_Deal,last_year_sales,units,population
37599,Cherry Creek Shopping Center,80206,19931,80206,Forever 21,Forever 21.2024.3,0,11/7/2024,81,16435.31,1577,24903
37600,Mall of America,55425,29399,55425,Forever 21,Forever 21.2024.3,0,11/7/2024,81,20778.47,3003,10868
37601,Dolphin Mall,33172,42147,33172,Forever 21,Forever 21.2024.3,0,11/7/2024,81,29073.74,1405,40278
37602,Pacific Avenue,95060,19316,95060,Forever 21,Forever 21.2024.3,0,11/7/2024,81,3421.95,1129,46527
37603,Walt Whitman Shops,11746,9727,11746,Forever 21,Forever 21.2024.3,0,11/7/2024,81,0,0,67663
37604,The Mall at Bay Plaza,10475,14670,10475,Forever 21,Forever 21.2024.3,0,11/7/2024,81,15876.32,1183,43517
37605,Town and Country,85016,18500,85016,Forever 21,Forever 21.2024.3,0,11/7/2024,81,0,0,37025
37606,Southdale Center,55435,18699,55435,Forever 21,Forever 21.2024.3,0,11/7/2024,81,2347.41,2549,14053
37607,Fashion Valley,92108,64642,92108,Forever 21,Forever 21.2024.3,0,11/7/2024,81,0,0,24201
38084,Circle Centre Mall,46404,10947,46404,Forever 21,Forever 21.2024.3,0,11/7/2024,81,0,0,16851
39280,Brea Mall,92821,0,92821,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,0,0,41604
39281,Houston Premium Outlets,77433,0,77433,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,844.48,191,107887
39282,Opry Mills Mall,37214,0,37214,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,3413.06,318,31752
39283,Palms at Town & Country,33183,0,33183,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,4254.64,1253,34057
39284,Tampa Premium Outlets,33559,0,33559,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,0,0,19226
39285,Kenwood Towne Center,45236,0,45236,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,8380.83,1012,24504
39286,The Avenues,32256,0,32256,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,11685.65,1791,51638
50101,Outlet Shoppes of Oklahoma City,73127,0,73127,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,0,0,26031
50488,Puerto Rico Premium Outlets,617,0,617,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,8757.94,908,22573
50489,Collection at Riverpark,93036,0,93036,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,0,0,46959
50490,Cross County Mall,10704,0,10704,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,0,0,32438
50491,Grove City Premium Outlets,16127,0,16127,Forever 21,Forever 21.2024.4,No BK,12/12/2024,92,0,0,15350
